Sentiment,Text Tweet
negative,Jelek filmnya... apalagi si ernest gak mutu bgt actingnya... film sampah
negative,Film king Arthur ini film paling jelek dari seluruh cerita King Arthur 
negative,@beexkuanlin Sepanjang film gwa berkata kasar terus pada bapaknya
negative,Ane ga suka fast and furious..menurutku kok jelek ya tu film
negative,"@baekhyun36 kan gua ga tau film nya, lu bilang perang perangan/? Perang""an disebut ama rp yaoi jadi ambigu :v"
negative,tolong editingnya yg bagus ya. Saya sering kecewa dgn film indonesia. Ditunggu filmnya!!
negative,"Kecewa dgn salah satu aktornya yg ternyata pendukung penista agama. Ah, saya harus bersabar utk tak menonton film ini."
negative,Kecewa parah sama film the guys. Dear @radityadika sorry to say this.
negative,Banyak yg kecewa abis nonton film ini :(
negative,#TheMummy 2017 adalah film yang paling memgecewakan saya selama hidup. Yah padahal sy udh berekspektasi tinggi dan suka bgt mesir kuno.
negative,"film jelek, jelas. Ga ada isinya. "
negative,awal bulan ini nonton dua film Indonesia di bioskop: kartini dan critical eleven. penggambaran kartini dan ale juga anya terlalu lemah. :( 
negative,"Nonton film #Kartini miris , ternyata di jaman itu dan jaman sekarang bangsa kita tetap bodoh, Serakah, Gila kawin .. IRONIS !! #CelotehPagi"
negative,"Btw Danur jelek banget, gausah ditonton Hans @hansdavidian gue kebayang lo bakal #meantweets soal film ini ntar! Lol"
negative,"Film Kartini trlalu singkat, sehingga penonton yg mungkin blm baca biografi jelas ttg Kartini agak bingung. Saya sndiri emg blm baca bukuny."
negative,"Habis nonton the guys, entah kenapa aku sedikit kecewa nonton film ini.. Dibanding film sebelumnya kok ini anjlok ya"
negative,Yang udah nonton film Alien kok pada kecewa ya. Jadi ragu buat nonton.
negative,satu-satunya kerugian nonton film action itu.. aktornya jadi keliatan jelek :p
negative,Ini film yang bilang bagus...Kelompoknya doang. Yang kasih penghargaan juga dia2 aj. waktu nonton ternyata jelek.
negative,"baik, kita sudahi saja. hidup terlalu singkat untuk dihabisken dengan menonton film jelek."
negative,"Film King Arthur itu tidak jelek namun juga tidak bagus. Biasa saja, cenderung mudah dilupakan."
negative,"Jelek ah jelek Pantas film Dimension tidak pernah dirilis, akting kamu begini ternyata /ga "
negative,duh ini film ribet banget ...
negative,"Dgn durasi film yg tll panjang, alur yg datar, akhirnya stlh #CriticalEleven selesai sy keluar dgn pertanyaan: ini masalahnya apa sih?"
negative,"Banyak adegan penting yang di potong, jadinya merusak film itu sendiri "
negative,"baru selesai nonton film GOAL 3, ternyata penurunan kualitas film nya drastis parah."
negative,Baru keingat film yang cukup beda dengan buku sampai bikin kecewa teman yang ngajak nonton: Black Bulter
negative,ogah nonton lagi saya. Kecewa ama itu film 
negative,"Kecewa berat sama film Power Rangers, dibawah ekspektasi banget "
negative,Bahas soal film yang diangkat dari novel rasanya kalo di bikin film kurang puas aja gitu
negative,"Sebenernya nggak ada yang salah sama akting Prilly di film Danur menurut aku oke oke aja. Yang kurang greget itu ceritanya sih, kurang kuat."
negative,"Tadi abis nonton film balap2 mobil itu,tertidur sekitar 15 menit. Entah lelah entah bosan."
negative,The mummy film yg terasa mulai aneh sejak pertengahan filmnya #mummy
negative,"Memang malah kelihatan aneh kalau ada film besutan Marvel yang ga ada post-credit scene nya,kaya film yg habis saya tonton,#Logan."
negative,Film norak!!!! 
negative,adanya film critical eleven ini jadi merusak image Ale Anya di kepalaku :(
negative,"#FactRica ~ kurang suka sama film-film romantis, karena endingnya pasti jadian"
negative,Dibalik novel yang diangkat jadi film. Terus jadinya kurang. Sesungguhny ada campur tangan produser yang sok tau dengan embel2 lebih menjual
negative,karena ga respect kelakuan si dian sastro ...film itu jadi hambar.... ga bermutu...!!! 
negative,sebnarnya ini film lumyan bgus..sayangnya aktor n aktrisnya dari rusia jadi filmnya trsa hambar
negative,Kalo Nolan bikin film gak ada perempuan seksi* dan bumbu percintaan selalu hambar.
negative,"1. Insidious (2010) Meski creepy dan bagian awalnya bikin tegang, bagian akhir film ini justru terasa agak datar. Hal tersebut berpengaruh+"
negative,Ini gue nonton film homo aja rumit bener
negative,Sayang banget ketika ada film lokal yang bagus tapi budgetnya kurang jadi layar yang bisa di tonton jadi terbatas banget. sayang banget
negative,Film macam apa ini? Nonton nya bikin gue menderita -_-
negative,jadi gue nonton The Mummy ini karena seseorang bilang film nya bagus. tapi kemudian setelah keluar dari bioskop merasa menyesal...
negative,"Semalam nonton film ini, paginya ane download, malem langsung nonton.. ane smpai begadang.. hasilnya? Ane Kecewa... http://fb.me/13sZi5lbC "
negative,"Aku takut kecewa nonton film Danur, takut ga sesuai ekspetasi ketika di buku. Mikir panjang, serius."
negative,Nonton alien : covenant di @cinema21 mall @MciMall kaya nonton bajakan parah ada yg di SKIP mati mati jelek parah!!!! Film bagus jadi jelek 
negative,"gue adalah orang yg jarang bgt nntn film indonesia..krn tiap nntn, gue slalu kecewa sama pembuatan film yg mnrt gue ga totalitas"
negative,"Awalnya agak ragu mau nonton, karena kebanyakan kecewa waktu nonton film dari adaptasi novel"
negative,Sebenarnya gamau berekspektasi tinggi sih dari sebuah film yang diangkat dr buku. Biasanya malah kecewa :(
negative,Ya sudah tidur saja kecewa film nya bukan yang diharepin hufy
negative,"Sama, ane juga kecewa ma nih film, padahal udah lama nungguin"
negative,Ka @selliyamanto udah nonton #MembabiButa? Agak kecewa nonton film tu
negative,Jenuh nonton film... hambar
negative,sesal di dada nonton ini film...
negative,"Netizen membatalkan nonton film ""Kartini"" gara-gara kelakuan @therealDiSastr. http://bit.ly/2o2iRPY"
negative,"film jelek, jelas. Ga ada isinya."
negative,Itu film makin aneh ajaa ?
negative,"Agak aneh film terbaru Conan, baru kali ini gk spektakuler. Tp openingnya hancurin gedung sih"
negative,"@askmenfess Film yang bikin emosional, bener-bener nyedot emosi."
negative,@pandji @InsyaAllahSah Film busuk dan artis dungu merusak bhineka
negative,"Kecewa dgn plot cerita film dengan the guys, critanya seakan lompat ga ada proses visual yg bs bikin kta mengerti mengapa amira suka sm alfi"
negative,jijik banget sama film ini. apalagi pas dia jadi kelinci gede-_- nightmare parah. https://t.co/eDoiFuS8P5
negative,"bnyak yg bilang film Mummy jelek, pdahl pengen nonton"
negative,"Banyak yang bilang, film ini jelek. Daur ulang yang gagal. Di imdb dan ratattote aja ratingnya anjlok. Tp menurutku, aku suka sama film ini"
negative,Naruto adalah film paling bodoh ke-8 haha #faktanya #quote
negative,Gw ekspektasinya film ini punya kekuatan narasi yg gw bisa jadiin motivasi. Tp kalimat inspiratifnya kurang banyak hehehe
negative,Film e hambar
negative,"Film The Mummy menurut gue gak sesuai harapan, agak agak gimana gitu filmnya, weird. Dan bukan film tipe bang tom seperti biasanya -_-"""
negative,yah kirain film baru wkwk penonton kecewaa
negative,"Mau bilang jelek ya bilang aja, sekalipun yg buat film itu teman sendiri. Sebut ""filmya bagus"" padahal biasa aja ngga bkin tmen lu maju sih."
negative,"Abis nonton King Arthur. Temen gw pesen, sblm nonton ""loh, itu film jelek katanya"" jgn selalu percaya ama pesen yg ada unsur ""KATANYA"" .."
negative,Kadang lebih gampang nilai film jelek ketimbang nilai film bagus. Mbuh.
negative,Ini film apa dah. Baru mulai udh bgni-_- jijk
negative,"Film Kartini menang pd pemain"" film yg kelas atas yg sudah punya nama. Tapi ceritany kurang dapat dan kurang riset menurut saya."
negative,"Entah aku yg kurang belajar sejarah apa gimana, tapi entah kenapa konflik yg ditampilkan di film Kartini kaya kurang memenuhi ekspektasi aja"
negative,"Film itu kalau byk di sensor, rasanya g ada, hambar"
negative,Semoga ga busuk kyk film yg pertama
negative,Flm apa ini :) arah dan tujuannya nggak jelas.. Nyesel download ! Sabar... Ini ujian ! — menonton Hangout Film
negative,Hari ini nonton film terasa; hambarr
negative,Kurang mengerti sama film nya the mummy..
negative,Kecewa banyak deh pkoknya.. Setidaknya mslh jam tayang bs aja ngertiin tp klu film di cut itu yg g bs dingertiin #KaulahTakdirkuMembelamu
negative,"Pernah novel favorit di filmkan & hasilnya bikin kecewa parah. Tp dari teaser #CriticalEleven saya yakin, team CE serius sama film ini"
negative,"Intinya, kmren kecewa bgt sama @cinema21 krna mmbiarkan anak kecil nnton film dewasa & jam tayang malam (20.30 WIB) pula #CriticalEleven"
negative,Aduh! Film bagian ini jijk parah
negative,Kecewa parah nnton film the guys ini. Entah kenapa makin ksini radit bkin film gapernah bener. Lucu juga nggak. Jalan cerita juga gadapet...
negative,"Agak kecewa sama film Danur, diluar ekspektasi :("
negative,Ancur bgt itu film. Jelekk
negative,Flm nya jelekk bingittsss.
negative,"Film hangout kok biasa aja sih, malah gak jelas sepertinya. Kecewaa"
negative,Ternyata ending film kamar 207 jelekk
negative,Filmnya aja ngehek...... ini seriesnya ngehek juga ga
negative,Kurang suka sama film #pesbukers cewe2 terllu terbuka penampilannya. Kurang baik klo di tonton anak kecil
negative,Buried ini film budget termurah dengan tingkat depresi tertinggi
negative,"lalu setelah film berakhir, mikir ''ngapain nonton film yang isinya anak sma semua..'' terus agak nyesel :("
negative,"Gila, film Britney Ever After jelek banget parah! Nyesel nonton walau gak sampe abis."
negative,"Film danur nggak seperti novelnya. Harapan lebih serem ternyata cuman bikin boring. Sorry teh, tapi novelnya lebih bagus :)"
negative,ga bakal gua nonton film setan indonesia thur. mengecewakan semua. murahan cuma ngandelin sex
positive,"Keren bang flm lo @radityadika persahabatan, keluarga dan cinta kentel banget. Tokoh pemain pas semua keren bang"
positive,"Habis nonton film Kong: Skull Island 2017. Lumayan greget filmnya, 7.5 deh.. layak buat nobar"
positive,"Bravo untuk #filmkartini! Pemainnya bagus, sudut pandang ceritanya pun menarik. Film yang penting untuk ditonton perempuan dan juga lelaki."
positive,Abis nonton film #kartini. Bagussss bgt! Dr awal sampe akhir haruuuu
positive,#RomanHarusBertahan bangga menyukai film yg mengandung bnyak makna sperti ini.. @RompisRepost @LayarDrama_RCTI
positive,"Tiga kata untuk film #danur : cukup, dramatis dan laris."
positive,Film kartini.. Meski aku agak telat nontonnya. film ini bagus banget...kalian sukses mendeliver cerita dan pesan.. good job guys... 
positive,Aku menangis di akhir film kartini #banggafilmindonesia
positive,"pokoknya kalian harus nonton film kartini, asli KEREN ! @LegacyPictures @Hanungbramantyo nonton di bioskop ya, bikinnya susah loh"
positive,"pokoknya kalian harus nonton film kartini, asli KEREN ! @LegacyPictures @Hanungbramantyo nonton di bioskop ya, bikinnya susah loh"
positive,"film divergent seru-_- ah kenapa udh selesai sih-,-"
positive,"Tentang Get Out. kalo masih ada, cepetan nonton. mending nonton ini dulu daripada Fast Furious 8 http://tz.ucweb.com/4_OaOo "
positive,Saya suka video @YouTube http://youtu.be/JxTmtJ0Fc2U?a  TRAILER FILM THE GUYS (di bioskop 13 April 2017)
positive,"Agak kebanyakan nangis2nya untuk selera saya, tapi secara keseluruhan sy kagum dengan film #Kartini."
positive,"thank you buat mas @awisuryadi dan tim yg uda buat Danur. film nya keren banget.buat tmn2 yg belum nonton, silakan ditonton. rekomended."
positive,#DANUR film horor Indonesia terlaris sepanjang masa dengan 2.690.000 penonton sejak tayang 30 Maret 2017. #ManojPunjabi #DanurMovie
positive,"Bertambah lagi film Indonesia yang bakal jadi favorite. Ya, #CriticalEleven setelah baca buku & nonton. Gak kecewa. Sama2 Bagus @ikanatassa"
positive,nah ini. coba nonton filmnya deh. asik parah 
positive,nah ini. coba nonton filmnya deh. asik parah 
positive,"Nonton Get Out bener2 gk punya ekspektasi apa2, cuma tertarik karna ini filmnya Jordan Peele, dan puas!! Keren parah, film sakit jiwa ini."
positive,"Kalo lagi nyari film comedy, ini recomended nih... Lucu parah! Asli! "
positive,"Cek tread ini aja, Film gak terkenal yang ternyata asik di tonton - https://kask.us/hezsL  banyak nemu film bagus disini."
positive,Sekarang lagi ada film yang bagus banget di bioskop. Judulnya Ziarah. Film Indonesia yang patut diapresiasi.
positive,"Critical eleven film yang bagus. Dari cerita, pemain sampai gambarnya, semuanya bagus. Puas banget dah nontonnya."
positive,Film Ziarah sangat layak ditonton. Pengen peluk sutradaranya yang sukses mengarahkan pemeran mbah Sri - peran umur 95 thn.
positive,Dan akhirnya setelah nunggu setahun mulai juga ni film #KantiniDHijabers
positive,Satu satunya film indonesia yg gue tunggu bgt buat di tonton. Setelah liat filmnya lgsg gagal moveon. Pgn nnton lagiii #CriticalEleven
positive,Tp rasa bangga-nya pasti akan berkali2 lipat kalo film perdananya bisa meledak di pasaran dan tercatat menjadi film terlaris.
positive,"@CenayangFilm mbah, cucumu barusan nonton Night Bus. gila, keren gini ya. tinggal dikit lagi layarnya di bandung mbah, kasian :("
positive,"film indonesia terbaik tahun lalu yang saya tonton. #ziarah diputar di bioskop 18 mei 2017. catat di hape, tonton di hari pertamanya."
positive,Dari awal sampe akhir kagum banget sama film the guys raditya dkk kocak banget @cinema21 @sorayafilms #21TheGuysQuiz
positive,"Papa mama aku juga ikut nonton , mereka termasuk critical sm Film Indonesia,mereka blg film ini Bagus sekali :) terimakasi @Hanungbramantyo"
positive,"Sumpah film danur bagus banget. yg ini nihh baru dapat film yang kenyataan bener,..seru bikin ngageting #DanurMovie"
positive,Buat yg udah nonton The Guys. Pilihan nonton di @cinema21 lainnya adalah #Unlocked film action yg seru. Cocok buat nemenin pas long weekend.
positive,Nonton Film The Guys. Filmnya ngakak Abis ada sedihnya juga film dengan paket yg komplit hehehehe Sukses terus @radityadika
positive,Sumpah ini film bagus bngt! Nonton berkali-kali gapernah bosen film the guys sangat menginspirasi tnx bang udah buat film ini @radityadika
positive,Kalo belom nonton Kartini harus banget sih nonton! Sama film korea judulnya Obsessed tp 18+++ huehe ()
positive,Nangis itu gegara nonton film kartini (1982) yang epic banget.
positive,"Dan film ZIARAH ini muatannya berlapis. Tentang hidup, tentang cinta, tentang sejarah, tentang misteri, banyak sekali yang bisa disimak."
positive,"90.4| Film ""Kartini"" bisa ditonton oleh semua umur. Karena film ini selain menghibur juga mendidik dan menginspirasi #FFF"
positive,"Film sejarah, jarang sekali di negara ini. Jika membaca sejarah saja kita enggan setidaknya tontonlah filmnya @Hanungbramantyo Kartini"
positive,"Pengerjaan film #Kartini terasa sangat sungguh2. Baik dari pemain maupun produksi. Selamat ya, Mas @Hanungbramantyo"
positive,Lapor mbah @CenayangFilm film ini keren. Worth to watch. Syukur2 bisa instrospeksi diri abis nonton.
positive,"thanks for today @andibowooo :-* film #TheBossBaby bagus banget dapet feel nya dari lucu, ketawa , amazing pokonya "
positive,Film Ziarah teramat sangat keren. Bangga. Layak dapat Oscar...
positive,Barusan bgt kelar nntn @filmziarah film lokal pertama yg gue tonton dan berhasil bikin nangis @bewe_bw speechless liat aktingnya @alitalit_
positive,Bahagia telah dipertemukan dengan film keren ini 
positive,Film Kartini bagus bangettt!!!! Wajib ditonton!
positive,minggu lalu nonton #DANUR mau review seneng juga sih film horror Indonesia sudah bagus lagi @CenayangFilm @ScreenSaversID
positive,"#FilmKartini menginspirasi untuk berjuang menjunjung nilai kebenaran, bukan dominasi penguasa dan kekakuan budaya @LegacyPictures"
positive,"10. Kalaupun mau bikin film horror, film Danur bisa jadi rujukan .. ringan tapi menakutkan "
positive,Banyak moral yg bisa dipetik dari film wonder woman. Salah satunya adalah menjaga auratmu dr cowok hidung belang ?
positive,Berikut 5 film horor Indonesia berpendapatan tinggi dalam 10 tahun terakhir. Dapatkan tiket @DanurMovie di http://bit.ly/belidanur
positive,Trust me. #GetOut itu tipe film paling nyaman dinikmati saat kita gak tau sama sekali filmnya mau kemana. Kalau sudah baca sana-sini ya beda
positive,Nonton film #getout berbudget minim tp hasilnya sungguh tk diduga bgtu jenius smp mkir brulang apa yg sbnrnya trjadi
positive,Ini salah satu film yg simple tapi hasilnya luarbiasa. Ga aneh film #GetOut dapet critical acclaim.
positive,"Dan sy bahagia krn film sebagus @filmziarah ditonton oleh mrk. Kalaupun mrk ditugasi gurunya, gurunya itu bagus #filmziarah"
positive,"Film Kartini bagus banget, sebelah saya sampe nangis, artinya film ini mampu memberikan keresahan pada penontonnya."
positive,"Ini film keren, banyak falsafah hidup. Salut"
positive,"Males2an diajak liat The Guys, karena masih ngerasa duit terbang percuma pasca nonton Hangout. Eh ini beda ternyata tjoy, film ini keren."
positive,"Permintaan terbuka untuk warganet Indonesia. Jikalau ada waktu + kesempatan, tontonlah film ""Ziarah"". Salah satu yg terbaik yg pernah ada~ "
positive,"Sampai hari ini, aku masih terngiang2 Film Critical Eleven, ya Tuhan. Betapa aku banyak belajar dr menonton itu. Hemmmm"
positive,habis liat Film kartini yg luar biasa...pemikiran dan gerakan kartini hrs di lanjutkan
positive,#filmkartini @Hanungbramantyo sangat layak utk diapresiasi tinggi. Tak ada gading yg tak retak. Tp cuma retak samar. Film ini BAGUS!
positive,"Di Film Danur, justru yang membuat saya terkesan sosok Asih. Expresi yang datar, tanpa kata membuat penasaran,... http://fb.me/1uxomgQjS"
positive,Danur seru bangat flm nya Yg blm nonton harap nonton #l4like
positive,Film-film tersebut juga cocok lho ditonton bareng anak Anda. Yuk mulai nonton lagi film berkualitas dari Indonesia #BTInd
positive,"Gue udah nonton bang, sumpah pecah banget nih film karena berhasil bikin mewek nontonnya ? https://t.co/e9UbwUtbQJ"
positive,nih film komedi lucu bangt bahasa jawa https://t.co/46I52na21l https://t.co/TopkrZd0DZ
positive,Awalnya sih sempet khawatir setiap liat film adaptasi dr novel takut gak sesuai ekspektasi tp #CriticalEleven malah bikin speechless.
positive,Salah satu film yg gak pernah bikin bosen ditonton berapa kali pun: The Intern. What a lovely movie. @CenayangFilm
positive,"Gk nysel aku bg, uda ntn vlog mu yang the guys dri awal smpe akhir, dan akhrnya terbayarkan sama film mu bang kern kli @radityadika seriusan"
positive,Tadi abis nonton @GetOutMovie. Gokil sih premisnya. Keren lah itu film.
positive,@ernestprakasa Slamat koh ernes atas kemenangan film cek toko sebelahnya Kita kuat karna kita beragam bukan seragam
positive,"ini film keren banget bang Kekeluargaannya, cintanya, persahabatannya, komedinya dpt banget sumpah. Jadi makin cinta sama alfi. @radityadika"
positive,Dan tiap scene Reza-Adinia ini selalu gold moment #CriticalEleven. Ini berdua emg dah ditakdirkan jadi pasangan plg cocok di film saat ini.
positive,"Film yang keren, pemainnya menggembirakan meski banyak penonton menangis. #kartini"
positive,"RT @GreatBos: Jarang nonton movie Indonesia Tapi. Yang judulnya Syahadat Cinta, bagus Pemirsa, Recommended .. Jalan ceritanya SERU! .. Hoo…"
positive,ASTAGAH! FILM FAVORIT KELUAR LAGI LANJUTANNYA. 
positive,"Masih belun moveon dari #CriticalEleven dan ini bikin saya belajar satu hal. Buku yg diadaptasi ke film, gak bisa kita samakan kualitasnya"
positive,"Sudah nonton Critical Eleven. Menyenangkan kok, masuk kategori film Indonesia yang wajib tonton lah."
positive,@unaazizah @yanskii Film keren
positive,Lebih suka film yang bentar tapi menarik #DhikeFact
positive,ga sabar nunggu Bluray nya. pasti banyak special feature yang keren. lebih lucu kalo ada bloopernya
positive,"Film The Guys wajib ditonton bagi kamu yang sayang orang tua, sahabat yang baik, creatif dan cinta kebebasan. Kereen bgt kak @radityadika"
positive,"Film The guys nya keren abiss bang @radityadika . Lucu dapet, romance nya dapet, dan sedih nya juga dapet."
positive,"41 Vlog dan nunggu 22 hari setelah tanggal rilis baru nonton, kece banget, cerita yang tak tertebak sama sekali. Film THE GUYS @radityadika"
positive,Kmrn nonton film THE GUYS di situ bener2 ngerasain bgt bahwa sahabat lebih dari segala2''y knapa bang kalau bkn film sllu keren @radityadika
positive,Kartini... pemamarannya sangat sederhana dan apa adanya yang justru membuat film ini sangat enak untuk dinikmati @Hanungbramantyo
positive,Abis ntn film Kartini. Bnr2 menginspirasi dan makin membuka pikiran.
positive,"baru nonton Kartini, salah satu film nasional yg sangat recommended untuk ditonton. saya nangis, campur aduk rasanya :'')"
positive,Film Kartini *sangat niat banget lihat film ini dan keren sekali dimana banyak scene2 yg sy harus menitikkan air mata #filmkartini #kartini 
positive,KARTINI adalah salah satu film Indonesia bertema sejarah terbaik yg pernah dibuat. Digarap dgn serius dan tema msh relevan dgn kondisi skrg.
positive,harusnya memang begini... Film kartini memang harus di tonton generasi muda http://fb.me/6tQqDGGLJ 
positive,Menurutku danur bagus dan cukup bangga dengan film horor hasil karya bangsa ini
positive,Fargo juga adaptasi dari film yang cukup berhasil. Season 1-nya the best! https://t.co/tkEEK3Evs9
positive,637.000 waw ini sangat keren flm horor dng jumlah penonton segini dlm waktu 4 hari @prillybie @danurmovie
positive,@filmziarah film yang tenang dan menghanyutkan. Salut dengan Mbah Ponco yg bisa membawakan karakter Mbah Sri dengan sangat baik. #FilmZiarah
positive,Film yg amat menarik. Kisah cinta & kesetiaan yg disajikan secara tidak biasa. Bikin kgn nenek. Recomended movie @filmziarah #meiberziarah
positive,"Nntn @filmziarah , film bagus, ada kali 5 menit penonton gak beranjak tetep ngliatin layar pdhl film dah selesai, msh spicles sm endingnya"
positive,aku sejarah selain gurunya enak dan menyenangkan lewat pelajaran ini aku lebih banyak tau hal yang sebelumnya belum tau bahkan film sejarah apapun chaca suka contoh bumi manusia dan kartini ketempat sejarah kaya museum dan galeri kenangan aku suka best
positive,film biografi tokoh indonesia selain soekarno kartini sama bj habibie apalagi ya
negative,digitrkn bu kampanyalar sadece bizde 12 ay sabit sporun yldz 12 ay film dizi paketi kredi kartna 329 bu frsat kamaz digitrk illere zel sporun yldz paketi 12 ay sabit 299 digitrk taraftar paketi film paketi 12 ay sabit kredi kartna 279
negative,digitrkn bu kampanyalar sadece bizde 12 ay sabit sporun yldz 12 ay film dizi paketi kredi kartna 329 bu frsat kamaz digitrk illere zel sporun yldz paketi 12 ay sabit 299 digitrk taraftar paketi film paketi 12 ay sabit kredi kartna 279
negative,digitrkn bu kampanyalar sadece bizde 12 ay sabit sporun yldz 12 ay film dizi paketi kredi kartna 329 bu frsat kamaz digitrk illere zel sporun yldz paketi 12 ay sabit 299 digitrk taraftar paketi film paketi 12 ay sabit kredi kartna 279
positive,mllbbang yang dia jadi mainsupporter role srimulat ada di prime video one night stand sama susuk di netflix short film joko 2017 di youtube jadi guest role soekarno kartini bumi manusia mangkujiwo semua di netflix
positive,buat mengembangkan au himawari mingmin x wonmina aku menonton ulang film kartini dan bumi manusia
positive,abis nonton film kartini tapi ke distract mulu ama kebaya nya cakep bgt pleasee huhu pengen
negative,nonton bareng film kartini yang akan dilaksanakan pada sabtu 25 mei 2024 1330 wib sd selesai sekretariat bem km fkm unand menelusuri jejak wanita pemberani menjadi inspiratif untuk melangkah maju kartini pemberdayaanperempuan 215v2424
positive,moviemenfes nder coba liat kartini 2017 pa awal film aja aku udah nangis keinget mamaku heartbreaking
negative,special ulang tahun keirashabira nobar film dua surga dalam cintaku 8 juni 2024 jam 1500 wib di cgv poins mall jln ra kartini jakarta selatan htm rp 60000 yuk buruan datang yang belom nonton
negative,robertronny therealdisastr officialpilarez sheiladaisha adiniawirasti achmadmegan roysungkono ksuwandi verdisolaiman sumargodenny refalhady kartini ce amp kapan kawin 3 film dg tema berbeda tp tetep ada mbak disa mbak asti amp ma reza
positive,sebelum pengumuman pemenang bagibagi tshirt merchandise film yg saya pernah terlibat saya mau share juga 5 film favorit saya yg pernah saya buat 1 kartini 2 tmbgitw 3 backstage 4 critical eleven 5 kapan kawin mana yg sudah kamu tonton
positive,jatuh cinta berkali sama film dan buku kartini
positive,drercardio 67 yldr tv izlemiyordum ortanca ocuum futbol kursuna gidiyor malar internette salkl izleyemiyorduk dijixxxk balantm ufaklk 1 snf darya kmay azaltt izgi film izleyip duruyordu ortancann da notlar biraz dt tvnin kartn karttm oyalayc ok
positive,oceanizblue ya film kartini yg main dian sastro kalo gak salah
positive,jipaveda woww film kartini itu yang mnaa
positive,1 5cm 2 magic hour film ya bukan jeketi 3 cheer kdrama 4 kartini 5 merah putih movie yg satu dua atau tiga seru semua
positive,eastcrooked semangat lt3 cobain nonton film sang penari juga deh ini bukan film horror tapi ceritanya tentang tari remo sama film kartini juga bisa kayanya
positive,tidak ada yang tau siapa kartini sebelum film ini dibuat
positive,moviemenfes haloo sender nya bisa ku hubungi gak ya kebetulan aku lagi cari partisipan yang sudah nonton film kartini terima kasih
positive,ahh amaze bgt even film lumayan lawas much good lesson good amp classy person dari kartini
positive,trucchiavidy sma kartini itu yang dipake shooting film virgin series bukan
